GO,term,class,p,p_corr,n_genes,n_study,n_go,study_genes,n_genes/n_go,study_pop_assessed
GO:0038095,Fc-epsilon receptor signaling pathway,biological_process,1.5191246552723622e-07,2.383065547932096e-05,13,330,24,"[2241.0, 6850.0, 5601.0, 4067.0, 6885.0, 5609.0, 5599.0, 6416.0, 4214.0, 695.0, 5336.0, 5335.0, 3551.0]",0.5416666666666666,>Q3
GO:0006974,DNA damage response,biological_process,1.7645261228603955e-07,2.6815282923344075e-05,26,330,289,"[6787.0, 2308.0, 23049.0, 6794.0, 7443.0, 25.0, 5663.0, 9891.0, 4137.0, 2475.0, 9261.0, 57521.0, 1457.0, 11200.0, 11329.0, 5580.0, 1111.0, 983.0, 472.0, 5591.0, 5594.0, 4067.0, 1263.0, 7157.0, 7415.0, 7161.0]",0.08996539792387544,>Q3
GO:0070301,cellular response to hydrogen peroxide,biological_process,4.0402407075240357e-07,5.77873251784982e-05,14,330,65,"[4217.0, 8737.0, 3297.0, 5603.0, 2534.0, 4780.0, 5580.0, 558.0, 5562.0, 6778.0, 983.0, 25.0, 6714.0, 5598.0]",0.2153846153846154,>Q3
GO:0018107,peptidyl-threonine phosphorylation,biological_process,1.4113526017176337e-06,0.00018549750546359062,22,330,54,"[9475.0, 55561.0, 6794.0, 8851.0, 1457.0, 120892.0, 1859.0, 5580.0, 207.0, 27347.0, 5587.0, 5591.0, 9943.0, 983.0, 1111.0, 5594.0, 2011.0, 5599.0, 65125.0, 2931.0, 2932.0, 65267.0]",0.4074074074074074,>Q3
GO:0007166,cell surface receptor signaling pathway,biological_process,1.582501543319345e-06,0.0002025185527674204,13,330,295,"[5028.0, 1956.0, 4233.0, 2185.0, 10188.0, 301.0, 2064.0, 5590.0, 5175.0, 1432.0, 2041.0, 5594.0, 10461.0]",0.04406779661016949,>Q3
GO:0071222,cellular response to lipopolysaccharide,biological_process,1.8650244710132475e-06,0.00023255420519326724,18,330,187,"[3297.0, 834.0, 28964.0, 613.0, 5606.0, 3654.0, 3717.0, 5609.0, 558.0, 9646.0, 4208.0, 4793.0, 9971.0, 1432.0, 25.0, 6714.0, 4986.0, 5599.0]",0.0962566844919786,>Q3
GO:0042770,signal transduction in response to DNA damage,biological_process,1.9449908116979977e-06,0.00023646225793218408,8,330,17,"[11200.0, 1432.0, 5608.0, 1111.0, 472.0, 25.0, 5595.0, 6300.0]",0.47058823529411764,>Q3
GO:0007611,learning or memory,biological_process,2.160028282386442e-06,0.00025620042773768945,12,330,65,"[5728.0, 4739.0, 1956.0, 5663.0, 5582.0, 4208.0, 5594.0, 4914.0, 2033.0, 2903.0, 6714.0, 351.0]",0.18461538461538463,>Q3
GO:0001558,regulation of cell growth,biological_process,2.766554799484828e-06,0.00031287804627662136,11,330,72,"[728642.0, 6794.0, 2475.0, 780.0, 57521.0, 100533105.0, 6098.0, 57144.0, 185.0, 10298.0, 23678.0]",0.1527777777777778,>Q3
GO:0006006,glucose metabolic process,biological_process,3.0791920163619206e-06,0.0003327580172348449,9,330,60,"[2539.0, 5164.0, 207.0, 208.0, 5105.0, 3636.0, 2645.0, 1432.0, 5562.0]",0.15,>Q3
GO:0002862,negative regulation of inflammatory response to antigenic stimulus,biological_process,3.0791920163619206e-06,0.0003327580172348449,9,330,26,"[6850.0, 4067.0, 7525.0, 2534.0, 10769.0, 5335.0, 1432.0, 6714.0, 2268.0]",0.34615384615384615,>Q3
GO:0038083,peptidyl-tyrosine autophosphorylation,biological_process,3.200051508452956e-06,0.00033830109751318963,10,330,14,"[1859.0, 1956.0, 2185.0, 780.0, 238.0, 3791.0, 4914.0, 25.0, 5595.0, 3932.0]",0.7142857142857143,>Q3
GO:0008285,negative regulation of cell population proliferation,biological_process,4.990583954628057e-06,0.0005163661653480051,29,330,423,"[7040.0, 1027.0, 4869.0, 1029.0, 3717.0, 5894.0, 2185.0, 6794.0, 5771.0, 780.0, 2066.0, 1436.0, 4000.0, 4914.0, 1843.0, 3636.0, 7490.0, 6598.0, 3159.0, 1499.0, 27102.0, 351.0, 5728.0, 4067.0, 5604.0, 5610.0, 7157.0, 4088.0, 4988.0]",0.06855791962174941,>Q3
GO:0042127,regulation of cell population proliferation,biological_process,5.814117296337942e-06,0.0005890427585852377,17,330,138,"[7040.0, 673.0, 2242.0, 9891.0, 6662.0, 3815.0, 238.0, 6777.0, 100533105.0, 5747.0, 6772.0, 1111.0, 6775.0, 4792.0, 185.0, 6778.0, 23678.0]",0.12318840579710146,>Q3
GO:1901796,regulation of signal transduction by p53 class mediator,biological_process,6.065615967698302e-06,0.0006019814377738131,12,330,42,"[11200.0, 9891.0, 6790.0, 5608.0, 6794.0, 2475.0, 207.0, 1263.0, 2033.0, 1111.0, 472.0, 9212.0]",0.2857142857142857,>Q3
GO:0000086,G2/M transition of mitotic cell cycle,biological_process,9.754019550993113e-06,0.0009486759415295901,13,330,49,"[9088.0, 11200.0, 993.0, 994.0, 995.0, 6790.0, 9833.0, 1263.0, 1111.0, 983.0, 9113.0, 1017.0, 351.0]",0.2653061224489796,>Q3
GO:0030425,dendrite,cellular_component,3.538488918973088e-08,1.7894643961663899e-06,31,330,429,"[10368.0, 2185.0, 10769.0, 8851.0, 25.0, 5663.0, 5028.0, 4137.0, 4139.0, 2475.0, 57521.0, 6194.0, 4914.0, 4920.0, 5562.0, 120892.0, 1859.0, 6853.0, 5582.0, 2002.0, 22871.0, 5979.0, 2011.0, 351.0, 2534.0, 1263.0, 6772.0, 2932.0, 1269.0, 4986.0, 4988.0]",0.07226107226107226,>Q3
GO:0098794,postsynapse,cellular_component,5.371320634737382e-08,2.5352633395960446e-06,17,330,133,"[6812.0, 28964.0, 3717.0, 4233.0, 207.0, 4208.0, 4920.0, 2931.0, 2932.0, 1173.0, 6198.0, 22871.0, 6616.0, 25.0, 120892.0, 6622.0, 5663.0]",0.12781954887218044,>Q3
GO:0043231,intracellular membrane-bounded organelle,cellular_component,1.0466688211091997e-07,4.1168973630295185e-06,27,330,866,"[1027.0, 10254.0, 2962.0, 8851.0, 1436.0, 5536.0, 673.0, 5159.0, 558.0, 8878.0, 9020.0, 120892.0, 6598.0, 10188.0, 208.0, 27347.0, 3667.0, 1111.0, 472.0, 864.0, 4067.0, 2539.0, 4208.0, 1520.0, 5747.0, 7415.0, 7161.0]",0.03117782909930716,>Q3
GO:0045121,membrane raft,cellular_component,7.320947089892164e-07,2.5916152698218264e-05,17,330,199,"[200576.0, 4067.0, 1956.0, 3717.0, 2534.0, 4137.0, 3551.0, 5515.0, 5663.0, 3791.0, 3635.0, 5175.0, 695.0, 5336.0, 6714.0, 3932.0, 351.0]",0.08542713567839195,>Q3
GO:0005938,cell cortex,cellular_component,1.3145967105651926e-05,0.00040466716133919845,14,330,161,"[2241.0, 4739.0, 6622.0, 2185.0, 9833.0, 207.0, 208.0, 27347.0, 5587.0, 5747.0, 6616.0, 1499.0, 10398.0, 5663.0]",0.08695652173913043,>Q3
GO:0000922,spindle pole,cellular_component,2.2691910878837814e-05,0.0006694113709257156,11,330,130,"[994.0, 4739.0, 5515.0, 1263.0, 10769.0, 3636.0, 1432.0, 9113.0, 1499.0, 26524.0, 10783.0]",0.08461538461538462,>Q3
GO:0016301,kinase activity,molecular_function,4.596502056431517e-09,4.821730657196661e-07,21,330,59,"[9088.0, 1025.0, 23683.0, 6792.0, 8851.0, 7443.0, 25.0, 2475.0, 1457.0, 10295.0, 120892.0, 6850.0, 3654.0, 207.0, 27347.0, 5587.0, 983.0, 4067.0, 5610.0, 2932.0, 8317.0]",0.3559322033898305,>Q3
GO:0004714,transmembrane receptor protein tyrosine kinase activity,molecular_function,9.854521133171321e-09,9.397629698815197e-07,19,330,29,"[4486.0, 780.0, 2064.0, 2321.0, 2066.0, 5156.0, 1956.0, 558.0, 1969.0, 4914.0, 4920.0, 4921.0, 3791.0, 6098.0, 5979.0, 10461.0, 3815.0, 238.0, 2041.0]",0.6551724137931034,>Q3
GO:0004709,MAP kinase kinase kinase activity,molecular_function,3.452628358583415e-08,2.7860054985800015e-06,13,330,20,"[673.0, 1956.0, 6885.0, 9020.0, 5894.0, 4296.0, 9064.0, 1326.0, 369.0, 4214.0, 4217.0, 10746.0, 120892.0]",0.65,>Q3
GO:0046872,metal ion binding,molecular_function,1.1081794953367992e-07,8.303430647202159e-06,46,330,2385,"[9088.0, 23683.0, 9475.0, 3717.0, 5891.0, 5894.0, 23049.0, 5515.0, 27148.0, 780.0, 1806.0, 29072.0, 10133.0, 2203.0, 26524.0, 5536.0, 9891.0, 28964.0, 65061.0, 3751.0, 47.0, 48.0, 695.0, 4920.0, 5562.0, 11200.0, 84033.0, 5580.0, 10188.0, 208.0, 5587.0, 8789.0, 5590.0, 3163.0, 5214.0, 5471.0, 2534.0, 3815.0, 23405.0, 7277.0, 369.0, 7161.0, 10746.0, 5500.0, 8317.0, 10494.0]",0.01928721174004193,>Q3
GO:0004707,MAP kinase activity,molecular_function,3.200051508452956e-06,0.00020980337702294693,10,330,13,"[5600.0, 5603.0, 6885.0, 5609.0, 1432.0, 5594.0, 5595.0, 6300.0, 5597.0, 5598.0]",0.7692307692307693,>Q3
GO:0045296,cadherin binding,molecular_function,5.505130676494086e-06,0.00033969894586131157,24,330,317,"[2194.0, 8851.0, 1938.0, 5781.0, 5787.0, 5663.0, 1956.0, 8496.0, 1969.0, 7094.0, 6714.0, 11329.0, 5315.0, 5062.0, 3791.0, 5331.0, 1499.0, 56924.0, 2011.0, 5214.0, 10598.0, 7531.0, 3054.0, 6772.0]",0.07570977917981073,>Q3
GO:0048009,insulin-like growth factor receptor signaling pathway,biological_process,1.1276491036650144e-09,6.854696988903707e-07,14,330,32,"[6464.0, 5604.0, 5605.0, 5894.0, 5607.0, 5290.0, 9451.0, 367.0, 207.0, 5295.0, 5170.0, 3480.0, 5594.0, 5595.0]",0.4375,<Q1
GO:0038096,Fc-gamma receptor signaling pathway involved in phagocytosis,biological_process,2.741344471782861e-08,1.1109298471900044e-05,12,330,20,"[6850.0, 5058.0, 4067.0, 7525.0, 2534.0, 5580.0, 3055.0, 7409.0, 5747.0, 25.0, 6714.0, 2268.0]",0.6,<Q1
GO:0034976,response to endoplasmic reticulum stress,biological_process,7.084944715448185e-08,2.4610061536588945e-05,10,330,94,"[4217.0, 23435.0, 9451.0, 5516.0, 3725.0, 5295.0, 7184.0, 5296.0, 25.0, 10525.0]",0.10638297872340426,<Q1
GO:0008286,insulin receptor signaling pathway,biological_process,1.3827935236027553e-07,4.4830166035201324e-05,17,330,68,"[6464.0, 2308.0, 324.0, 5894.0, 5290.0, 5770.0, 5164.0, 5166.0, 207.0, 5295.0, 5296.0, 5170.0, 2931.0, 2549.0, 3480.0, 5594.0, 5595.0]",0.25,<Q1
GO:0007173,epidermal growth factor receptor signaling pathway,biological_process,4.0402407075240357e-07,0.0001155746503569964,14,330,48,"[6464.0, 673.0, 1956.0, 2185.0, 5290.0, 207.0, 2066.0, 5170.0, 5747.0, 2549.0, 5781.0, 25.0, 6714.0, 27.0]",0.2916666666666667,<Q1
GO:0016310,phosphorylation,biological_process,5.327000801731677e-07,0.00012952602449410572,13,330,42,"[2048.0, 5058.0, 5062.0, 5290.0, 2987.0, 1020.0, 238.0, 207.0, 5582.0, 6774.0, 10295.0, 5595.0, 120892.0]",0.30952380952380953,<Q1
GO:0031397,negative regulation of protein ubiquitination,biological_process,6.446331457377189e-07,0.00014927861846297748,10,330,57,"[9474.0, 65125.0, 2534.0, 3303.0, 3304.0, 8878.0, 207.0, 5582.0, 408.0, 1020.0]",0.17543859649122806,<Q1
GO:0006914,autophagy,biological_process,7.561305100634989e-07,0.00016363575220203067,15,330,147,"[9474.0, 2308.0, 441925.0, 6794.0, 84938.0, 3146.0, 8878.0, 7157.0, 10133.0, 7415.0, 23192.0, 25.0, 25978.0, 5563.0, 120892.0]",0.10204081632653061,<Q1
GO:0008625,extrinsic apoptotic signaling pathway via death domain receptors,biological_process,1.9449908116979977e-06,0.00032615483852715043,8,330,40,"[356.0, 6789.0, 5894.0, 11337.0, 8717.0, 5295.0, 4763.0, 7132.0]",0.2,<Q1
GO:0060324,face development,biological_process,1.9449908116979977e-06,0.00032615483852715043,8,330,21,"[673.0, 6722.0, 5604.0, 5605.0, 5894.0, 5914.0, 5594.0, 5595.0]",0.38095238095238093,<Q1
GO:0015031,protein transport,biological_process,3.200051508452956e-06,0.00048630782767521017,10,330,358,"[1605.0, 11337.0, 84938.0, 23192.0, 8527.0, 7184.0, 5296.0, 408.0, 25978.0, 287.0]",0.027932960893854747,<Q1
GO:0007268,chemical synaptic transmission,biological_process,3.814881021376883e-06,0.0005517650979138837,19,330,221,"[2562.0, 6195.0, 6197.0, 4155.0, 6857.0, 2890.0, 11337.0, 1740.0, 5582.0, 1742.0, 3798.0, 2903.0, 2904.0, 5594.0, 1499.0, 6622.0, 1128.0, 57468.0, 1020.0]",0.08597285067873303,<Q1
GO:0048010,vascular endothelial growth factor receptor signaling pathway,biological_process,6.065615967698302e-06,0.0008193636236365789,12,330,30,"[2534.0, 5062.0, 2185.0, 3791.0, 2321.0, 7409.0, 3315.0, 2324.0, 5747.0, 1432.0, 6714.0, 8829.0]",0.4,<Q1
GO:0002250,adaptive immune response,biological_process,6.2349964738099895e-06,0.0008194807527604859,14,330,425,"[6850.0, 4067.0, 3717.0, 2534.0, 3718.0, 27240.0, 2185.0, 5579.0, 7535.0, 1520.0, 440275.0, 3702.0, 695.0, 7006.0]",0.03294117647058824,<Q1
GO:0000122,negative regulation of transcription by RNA polymerase II,biological_process,7.316793211930048e-06,0.0009363569839372586,35,330,918,"[2308.0, 3337.0, 2444.0, 3725.0, 5914.0, 6688.0, 5925.0, 6829.0, 8878.0, 4790.0, 28996.0, 6597.0, 3146.0, 5970.0, 2260.0, 1499.0, 2908.0, 5468.0, 6622.0, 2146.0, 3299.0, 356.0, 5347.0, 3303.0, 5607.0, 1387.0, 367.0, 6256.0, 6772.0, 7157.0, 6774.0, 2551.0, 6778.0, 9212.0, 1021.0]",0.03812636165577342,<Q1
GO:0043197,dendritic spine,cellular_component,3.2910523806418207e-07,1.5533767236629394e-05,17,330,152,"[2048.0, 5728.0, 4804.0, 2043.0, 2185.0, 4842.0, 2890.0, 3337.0, 1742.0, 57679.0, 815.0, 3312.0, 5747.0, 2903.0, 5499.0, 5566.0, 351.0]",0.1118421052631579,<Q1
GO:0014069,postsynaptic density,cellular_component,4.5936174732342835e-07,1.9131065712058076e-05,22,330,224,"[775.0, 4744.0, 2185.0, 3337.0, 815.0, 5170.0, 4804.0, 5062.0, 4038.0, 2890.0, 1740.0, 5582.0, 57679.0, 1742.0, 2903.0, 2904.0, 5728.0, 2534.0, 4842.0, 3312.0, 25978.0, 1020.0]",0.09821428571428571,<Q1
GO:0043025,neuronal cell body,cellular_component,4.881722963197838e-07,1.9201443655244827e-05,26,330,348,"[2048.0, 81539.0, 2185.0, 3337.0, 84630.0, 3480.0, 25.0, 5792.0, 2044.0, 1454.0, 6714.0, 4155.0, 120892.0, 5563.0, 836.0, 4038.0, 2890.0, 5979.0, 6622.0, 1639.0, 57468.0, 2288.0, 2931.0, 6647.0, 3320.0, 1020.0]",0.07471264367816093,<Q1
GO:1904813,ficolin-1-rich granule lumen,cellular_component,5.327000801731677e-07,1.9850087198031725e-05,13,330,124,"[1432.0, 3303.0, 3304.0, 3146.0, 8621.0, 47.0, 3312.0, 1520.0, 7415.0, 3320.0, 3417.0, 5594.0, 1915.0]",0.10483870967741936,<Q1
GO:0005615,extracellular space,cellular_component,1.385291290179391e-06,4.903931167235044e-05,24,330,1859,"[2321.0, 1956.0, 8621.0, 1072.0, 120892.0, 6597.0, 1605.0, 3146.0, 1362.0, 23640.0, 7132.0, 10461.0, 6622.0, 351.0, 356.0, 3303.0, 3815.0, 3312.0, 1520.0, 3315.0, 6647.0, 6649.0, 1915.0, 8829.0]",0.012910166756320602,<Q1
GO:0098839,postsynaptic density membrane,cellular_component,2.766554799484828e-06,9.327241895405992e-05,11,330,97,"[10369.0, 775.0, 1128.0, 2890.0, 1740.0, 1742.0, 53616.0, 2066.0, 2903.0, 2904.0, 2043.0]",0.1134020618556701,<Q1
GO:0030424,axon,cellular_component,3.5397706972392532e-06,0.00011391625698388141,24,330,337,"[2048.0, 9474.0, 81539.0, 4744.0, 6416.0, 3480.0, 4763.0, 2044.0, 6326.0, 5563.0, 120892.0, 5058.0, 6857.0, 5979.0, 6622.0, 351.0, 1639.0, 53616.0, 2931.0, 6772.0, 65018.0, 2043.0, 1020.0, 8829.0]",0.0712166172106825,<Q1
GO:0043204,perikaryon,cellular_component,2.1138077536653533e-05,0.000598630355838028,13,330,152,"[4804.0, 2534.0, 775.0, 2043.0, 1020.0, 1740.0, 120892.0, 6416.0, 3312.0, 3798.0, 5499.0, 57468.0, 351.0]",0.08552631578947369,<Q1
GO:0030426,growth cone,cellular_component,2.1138077536653533e-05,0.000598630355838028,13,330,126,"[4804.0, 2185.0, 7786.0, 1020.0, 1454.0, 57679.0, 1072.0, 11344.0, 25.0, 65018.0, 120892.0, 6622.0, 351.0]",0.10317460317460317,<Q1
GO:0005759,mitochondrial matrix,cellular_component,3.371065981515649e-05,0.0008889690423481035,12,330,403,"[6464.0, 2908.0, 5770.0, 5164.0, 5165.0, 5166.0, 2066.0, 10295.0, 7157.0, 6647.0, 120892.0, 5566.0]",0.02977667493796526,<Q1
GO:0019899,enzyme binding,molecular_function,4.096639370960811e-12,5.371718375172364e-10,36,330,356,"[9217.0, 4486.0, 5894.0, 5770.0, 3725.0, 3091.0, 1432.0, 5914.0, 286.0, 287.0, 1956.0, 5159.0, 6829.0, 8878.0, 1977.0, 6714.0, 5578.0, 5580.0, 207.0, 5970.0, 5591.0, 1499.0, 5468.0, 351.0, 5728.0, 7525.0, 2534.0, 3303.0, 3304.0, 5609.0, 9451.0, 367.0, 6256.0, 3312.0, 6772.0, 7157.0]",0.10112359550561797,<Q1
GO:0005102,signaling receptor binding,molecular_function,4.565497482719478e-09,4.789206859372732e-07,23,330,347,"[2048.0, 640.0, 3717.0, 2444.0, 2064.0, 5914.0, 5159.0, 6714.0, 6850.0, 1499.0, 2268.0, 351.0, 4067.0, 356.0, 7525.0, 2534.0, 3303.0, 3304.0, 367.0, 3055.0, 7535.0, 2931.0, 6774.0]",0.06628242074927954,<Q1
GO:0031625,ubiquitin protein ligase binding,molecular_function,6.2018731290369e-08,5.004434547969006e-06,28,330,305,"[2308.0, 2185.0, 3725.0, 3091.0, 408.0, 8737.0, 1956.0, 5925.0, 8878.0, 5566.0, 11200.0, 324.0, 4804.0, 5576.0, 11337.0, 5970.0, 4087.0, 23640.0, 1499.0, 4067.0, 6885.0, 3303.0, 3304.0, 3312.0, 7157.0, 7415.0, 3320.0, 65018.0]",0.09180327868852459,<Q1
GO:0042803,protein homodimerization activity,molecular_function,2.4011413479364055e-07,1.7991409099894925e-05,35,330,715,"[9217.0, 6789.0, 6793.0, 2066.0, 2324.0, 152.0, 8737.0, 5156.0, 5164.0, 815.0, 5305.0, 120892.0, 11200.0, 6722.0, 4294.0, 4038.0, 4297.0, 207.0, 8527.0, 57679.0, 5970.0, 2260.0, 4953.0, 3417.0, 5596.0, 7013.0, 3815.0, 7786.0, 3315.0, 6772.0, 6774.0, 3320.0, 4217.0, 1147.0, 10494.0]",0.04895104895104895,<Q1
GO:0048156,tau protein binding,molecular_function,2.4685429706502727e-06,0.00015232362213012565,16,330,43,"[6622.0, 2534.0, 1639.0, 4139.0, 4140.0, 5515.0, 5516.0, 6093.0, 2288.0, 2931.0, 84630.0, 4087.0, 3320.0, 2011.0, 1020.0, 84446.0]",0.37209302325581395,<Q1
GO:0001784,phosphotyrosine residue binding,molecular_function,6.2349964738099895e-06,0.0003633617389459266,14,330,47,"[6464.0, 6850.0, 7525.0, 3055.0, 5295.0, 5296.0, 7409.0, 7535.0, 5781.0, 5595.0, 25.0, 5594.0, 27.0, 2268.0]",0.2978723404255319,<Q1
GO:0003723,RNA binding,molecular_function,7.316793211930048e-06,0.0004039640041744537,35,330,1386,"[9221.0, 23049.0, 5770.0, 23435.0, 3725.0, 7184.0, 2194.0, 6688.0, 8867.0, 8621.0, 6829.0, 1454.0, 9782.0, 311.0, 1975.0, 1977.0, 1981.0, 6597.0, 3146.0, 11344.0, 5591.0, 2521.0, 2011.0, 988.0, 2908.0, 3303.0, 3304.0, 5610.0, 2288.0, 3312.0, 3315.0, 7415.0, 3320.0, 1915.0, 8446.0]",0.025252525252525252,<Q1
GO:0004725,protein tyrosine phosphatase activity,molecular_function,1.1143948798028874e-05,0.000573248417206181,18,330,93,"[5728.0, 993.0, 5792.0, 995.0, 5770.0, 5515.0, 5778.0, 5747.0, 93492.0, 5781.0, 5782.0, 1843.0, 1844.0, 1845.0, 1846.0, 11099.0, 1848.0, 8446.0]",0.1935483870967742,<Q1
GO:0004708,MAP kinase kinase activity,molecular_function,1.1475897770571784e-05,0.000573248417206181,10,330,15,"[55872.0, 673.0, 5602.0, 5604.0, 5605.0, 5606.0, 5607.0, 5608.0, 5609.0, 1432.0]",0.6666666666666666,<Q1
